Observed Predicted
5174.885185 NA
4629.307138 NA
6540.163293 NA
6499.415489 NA
3465.468479 NA
4737.807231 NA
5341.358282 NA
6714.268404 NA
5620.586147 NA
4810.973832 NA
5080.97214 NA
5283.17816 NA
5425.521801 NA
6303.534842 NA
6982.799562 NA
5405.842747 NA
5688.898309 NA
6997.185086 5841.09
5693.187172 NA
6108.42713 NA
5619.498763 NA
4955.466259 NA
5174.121982 5730.93
6306.06346 6063.06
5617.200856 NA
6521.07447 5768.89
6488.302381 NA
4982.909161 NA
6018.72609 NA
6880.222233 5957.12
4981.448634 NA
5595.872896 NA
3459.304201 6073.63
5893.24761 NA
6677.740437 NA
6474.494504 NA
5202.263224 NA
6919.442442 NA
5122.722108 NA
5752.950415 NA
6811.542758 5836.68
4284.443731 NA
6212.414664 5995.73
5181.276042 NA
5636.689345 NA
5144.4235 6115.94
5271.536208 NA
5650.555076 NA
5718.712699 NA
6497.309785 NA
5510.99386 6041.68
6760.290427 NA
6307.850805 NA
5565.186786 NA
6886.887401 NA
5890.878556 5786.61
5801.37659 NA
5351.402008 NA
7785.692313 NA
6918.330483 NA
6407.210388 6053.95
7348.68453 NA
6548.458568 NA
5749.379183 5892.09
6639.528588 NA
6307.701567 NA
6071.179508 NA
5511.316254 NA
5752.428429 6025.57
6021.658482 NA
6027.046956 NA
5139.988742 5882.19
6116.487419 NA
5869.055281 NA
6173.18801 NA
5395.31742 NA
6580.955708 NA
6916.135899 NA
6668.28402 NA
6851.116792 NA
6163.739242 NA
6339.514143 NA
5721.502081 6033.85
6805.524119 NA
6169.982866 5957.67
6180.585572 6006.33
6399.931377 NA
5736.962409 NA
6192.247608 NA
5668.57063 NA
6922.636477 NA
6151.997505 NA
6671.920596 NA
6500.674033 NA
7238.712378 NA
7030.56577 NA
6845.888491 NA
7013.458396 6571.86
6974.262264 NA
7411.980894 NA
6751.380145 NA
6107.176733 NA
7185.202122 NA
6442.161301 NA
7046.239031 NA
6018.917004 NA
6826.956283 5875.73
5108.140361 5698.98
6121.821617 NA
6104.853136 NA
6907.406114 6152.62
6785.268363 NA
6095.258321 NA
6041.972851 NA
6810.373971 NA
6411.97301 6007.74
6582.481666 NA
6650.571002 NA
6210.852613 NA
6319.324073 NA
6534.520664 NA
6744.039175 NA
5980.696552 NA
7188.478313 NA
6579.280131 NA
6846.074096 6199.11
6553.783807 NA
