ID NSeg NHet
MS10S3029-010 144 58
MS10S3029-011 144 43
MS10S3029-012 144 31
MS10S3029-013 144 26
MS10S3029-014 144 26
MS10S3029-015 144 29
MS10S3029-016 144 44
MS10S3029-017 144 40
MS10S3029-018 144 26
MS10S3029-019 144 49
MS10S3029-020 144 21
MS10S3029-021 144 31
MS10S3029-022 144 28
MS10S3029-023 144 19
MS10S3029-024 144 45
MS10S3030-001 147 43
MS10S3030-002 147 32
MS10S3030-003 147 30
MS10S3030-004 147 40
MS10S3030-005 147 15
MS10S3030-006 147 25
MS10S3030-007 147 20
MS10S3030-008 147 50
MS10S3030-009 147 39
MS10S3030-010 147 27
MS10S3030-011 147 23
MS10S3030-012 147 27
MS10S3030-013 147 27
MS10S3030-014 147 22
MS10S3030-015 147 32
MS10S3030-016 147 39
MS10S3030-017 147 32
MS10S3030-018 147 44
MS10S3030-019 147 38
MS10S3030-020 147 23
MS10S3030-021 147 59
MS10S3030-022 147 26
MS10S3030-023 147 37
MS10S3030-024 147 17
MS10S3031-001 149 37
MS10S3031-002 149 40
MS10S3031-003 149 29
MS10S3031-004 149 25
MS10S3031-005 149 14
MS10S3031-006 149 18
MS10S3031-007 149 47
MS10S3031-008 149 15
MS10S3031-009 149 48
MS10S3031-010 149 47
MS10S3031-011 149 28
MS10S3031-012 149 36
MS10S3031-013 149 15
MS10S3031-014 149 24
MS10S3031-015 149 27
MS10S3031-016 149 40
MS10S3031-017 149 42
MS10S3031-018 149 26
MS10S3031-019 149 19
MS10S3031-020 149 27
MS10S3031-021 149 49
MS10S3031-022 149 17
MS10S3031-023 149 39
MS10S3031-024 149 27
MS10S3032-001 148 18
MS10S3032-002 148 60
MS10S3032-003 148 24
MS10S3032-004 148 16
MS10S3032-005 148 21
MS10S3032-006 148 50
MS10S3032-007 148 23
MS10S3032-008 148 22
MS10S3032-009 148 38
MS10S3032-010 148 16
MS10S3032-011 148 22
MS10S3032-012 148 61
MS10S3032-013 148 17
MS10S3032-014 148 29
MS10S3032-015 148 49
MS10S3032-016 148 15
MS10S3032-017 148 15
MS10S3032-018 148 18
MS10S3032-019 148 46
MS10S3032-020 148 9
MS10S3032-021 148 36
MS10S3032-022 148 32
MS10S3032-023 148 26
MS10S3032-024 148 19
MS10S3033-001 117 14
MS10S3033-002 117 39
MS10S3033-003 117 19
MS10S3033-004 117 25
MS10S3033-005 117 15
MS10S3033-006 117 22
MS10S3033-007 117 32
MS10S3033-008 117 13
MS10S3033-009 117 17
MS10S3033-010 117 14
MS10S3033-011 117 16
MS10S3033-012 117 23
MS10S3033-013 117 24
MS10S3033-014 117 17
MS10S3033-015 117 15
MS10S3033-016 117 12
MS10S3033-017 117 26
MS10S3033-018 117 36
MS10S3033-019 117 9
MS10S3033-020 117 32
MS10S3033-021 117 13
MS10S3033-022 117 10
MS10S3033-023 117 15
MS10S3033-024 117 14
MS10S3034-001 137 8
MS10S3034-002 137 43
MS10S3034-003 137 29
MS10S3034-004 137 12
MS10S3034-005 137 19
MS10S3034-006 137 24
MS10S3034-007 137 18
MS10S3034-008 137 34
MS10S3034-009 137 17
MS10S3034-010 137 18
MS10S3034-011 137 34
MS10S3034-012 137 12
MS10S3034-013 137 26
MS10S3034-014 137 16
MS10S3034-015 137 37
MS10S3034-016 137 12
MS10S3034-017 137 44
MS10S3034-018 137 29
MS10S3034-019 137 13
MS10S3034-020 137 15
MS10S3034-021 137 13
MS10S3034-022 137 21
MS10S3034-023 137 22
MS10S3034-024 137 23
MS10S3035-001 94 15
MS10S3035-002 94 13
MS10S3035-003 94 21
MS10S3035-004 94 23
MS10S3035-005 94 21
MS10S3035-006 94 9
MS10S3035-007 94 9
MS10S3035-008 94 16
MS10S3035-009 94 28
MS10S3035-010 94 13
MS10S3035-011 94 13
MS10S3035-012 94 35
MS10S3035-013 94 30
MS10S3035-014 94 25
MS10S3035-015 94 30
MS10S3035-016 94 36
MS10S3035-017 94 30
MS10S3035-018 94 13
MS10S3035-019 94 22
MS10S3035-020 94 16
MS10S3035-021 94 36
MS10S3035-022 94 17
MS10S3035-023 94 21
MS10S3035-024 94 17
MS10S3036-001 197 42
MS10S3036-002 197 19
MS10S3036-003 197 26
MS10S3036-004 197 28
MS10S3036-005 197 43
MS10S3036-006 197 20
MS10S3036-007 197 33
MS10S3036-008 197 24
MS10S3036-009 197 33
MS10S3036-010 197 28
MS10S3036-011 197 19
MS10S3036-012 197 31
MS10S3036-013 197 34
MS10S3036-014 197 25
MS10S3036-015 197 19
MS10S3036-016 197 35
MS10S3036-017 197 23
MS10S3036-018 197 54
MS10S3036-019 197 54
MS10S3036-020 197 32
MS10S3036-021 197 54
MS10S3036-022 197 50
MS10S3036-023 197 41
MS10S3036-024 197 13
MS10S3037-001 173 54
MS10S3037-002 173 25
MS10S3037-003 173 15
MS10S3037-004 173 7
MS10S3037-005 173 31
MS10S3037-006 173 22
MS10S3037-007 173 22
MS10S3037-008 173 54
MS10S3037-009 173 19
MS10S3037-010 173 42
MS10S3037-011 173 41
MS10S3037-012 173 56
MS10S3037-013 173 46
MS10S3037-014 173 29
MS10S3037-015 173 24
MS10S3037-016 173 35
MS10S3037-017 173 38
MS10S3037-018 173 35
MS10S3037-019 173 29
MS10S3037-020 173 20
MS10S3037-021 173 36
MS10S3037-022 173 38
MS10S3037-023 173 28
MS10S3037-024 173 48
MS10S3038-001 126 10
MS10S3038-002 126 18
MS10S3038-003 126 31
MS10S3038-004 126 11
MS10S3038-005 126 22
MS10S3038-006 126 20
MS10S3038-007 126 28
MS10S3038-008 126 42
MS10S3038-009 126 11
MS10S3038-010 126 38
MS10S3038-011 126 16
MS10S3038-012 126 40
MS10S3038-013 126 16
MS10S3038-014 126 36
MS10S3038-015 126 42
MS10S3038-016 126 14
MS10S3038-017 126 29
MS10S3038-018 126 12
MS10S3038-019 126 24
MS10S3038-020 126 32
MS10S3038-021 126 31
MS10S3038-022 126 11
MS10S3038-023 126 13
MS10S3038-024 126 26
MS10S3039-001 111 22
MS10S3039-002 111 28
MS10S3039-003 111 16
MS10S3039-004 111 7
MS10S3039-005 111 13
MS10S3039-006 111 23
MS10S3039-007 111 25
MS10S3039-008 111 29
MS10S3039-009 111 28
MS10S3039-010 111 30
MS10S3039-011 111 8
MS10S3039-012 111 9
MS10S3039-013 111 21
MS10S3039-014 111 31
MS10S3039-015 111 19
MS10S3039-016 111 30
MS10S3039-017 111 33
MS10S3039-018 111 20
MS10S3039-019 111 28
MS10S3039-020 111 25
MS10S3039-021 111 37
MS10S3039-022 111 13
MS10S3039-023 111 20
MS10S3039-024 111 16
MS10S3040-001 124 25
MS10S3040-002 124 16
MS10S3040-003 124 32
MS10S3040-004 124 51
MS10S3040-005 124 25
MS10S3040-006 124 28
MS10S3040-007 124 24
MS10S3040-008 124 23
MS10S3040-009 124 13
MS10S3040-010 124 33
MS10S3040-011 124 3
MS10S3040-012 124 38
MS10S3040-013 124 31
MS10S3040-014 124 47
MS10S3040-015 124 19
MS10S3040-016 124 30
MS10S3040-017 124 32
MS10S3040-018 124 21
MS10S3040-019 124 10
MS10S3040-020 124 7
MS10S3040-021 124 10
MS10S3040-022 124 18
MS10S3040-023 124 33
MS10S3040-024 124 23
MS10S3041-001 168 41
MS10S3041-002 168 36
MS10S3041-003 168 34
MS10S3041-004 168 25
MS10S3041-005 168 21
MS10S3041-006 168 17
MS10S3041-007 168 36
MS10S3041-008 168 22
MS10S3041-009 168 39
MS10S3041-010 168 41
MS10S3041-011 168 21
MS10S3041-012 168 33
MS10S3041-013 168 51
MS10S3041-014 168 26
MS10S3041-015 168 27
MS10S3041-016 168 25
MS10S3041-017 168 30
MS10S3041-018 168 25
MS10S3041-019 168 27
MS10S3041-020 168 27
MS10S3041-021 168 41
MS10S3041-022 168 39
MS10S3041-023 168 20
MS10S3041-024 168 40
MS10S3042-001 162 26
MS10S3042-002 162 27
MS10S3042-003 162 36
MS10S3042-004 162 29
MS10S3042-005 162 52
MS10S3042-006 162 37
