LineID,MatID,PatID
MS10S3035-014,6B06-1132,FEG183-52
MS10S3035-015,6B06-1132,FEG183-52
MS10S3035-016,6B06-1132,FEG183-52
MS10S3035-017,6B06-1132,FEG183-52
MS10S3035-018,6B06-1132,FEG183-52
MS10S3035-019,6B06-1132,FEG183-52
MS10S3035-020,6B06-1132,FEG183-52
MS10S3035-021,6B06-1132,FEG183-52
MS10S3035-022,6B06-1132,FEG183-52
MS10S3035-023,6B06-1132,FEG183-52
MS10S3035-024,6B06-1132,FEG183-52
MS10S3036-001,Quest,6B03-4304
MS10S3036-002,Quest,6B03-4304
MS10S3036-003,Quest,6B03-4304
MS10S3036-004,Quest,6B03-4304
MS10S3036-005,Quest,6B03-4304
MS10S3036-006,Quest,6B03-4304
MS10S3036-007,Quest,6B03-4304
MS10S3036-008,Quest,6B03-4304
MS10S3036-009,Quest,6B03-4304
MS10S3036-010,Quest,6B03-4304
MS10S3036-011,Quest,6B03-4304
MS10S3036-012,Quest,6B03-4304
MS10S3036-013,Quest,6B03-4304
MS10S3036-014,Quest,6B03-4304
MS10S3036-015,Quest,6B03-4304
MS10S3036-016,Quest,6B03-4304
MS10S3036-017,Quest,6B03-4304
MS10S3036-018,Quest,6B03-4304
MS10S3036-019,Quest,6B03-4304
MS10S3036-020,Quest,6B03-4304
MS10S3036-021,Quest,6B03-4304
MS10S3036-022,Quest,6B03-4304
MS10S3036-023,Quest,6B03-4304
MS10S3036-024,Quest,6B03-4304
MS10S3037-001,ND20448,ND25160
MS10S3037-002,ND20448,ND25160
MS10S3037-003,ND20448,ND25160
MS10S3037-004,ND20448,ND25160
MS10S3037-005,ND20448,ND25160
MS10S3037-006,ND20448,ND25160
MS10S3037-007,ND20448,ND25160
MS10S3037-008,ND20448,ND25160
MS10S3037-009,ND20448,ND25160
MS10S3037-010,ND20448,ND25160
MS10S3037-011,ND20448,ND25160
MS10S3037-012,ND20448,ND25160
MS10S3037-013,ND20448,ND25160
MS10S3037-014,ND20448,ND25160
MS10S3037-015,ND20448,ND25160
MS10S3037-016,ND20448,ND25160
MS10S3037-017,ND20448,ND25160
MS10S3037-018,ND20448,ND25160
MS10S3037-019,ND20448,ND25160
MS10S3037-020,ND20448,ND25160
MS10S3037-021,ND20448,ND25160
MS10S3037-022,ND20448,ND25160
MS10S3037-023,ND20448,ND25160
MS10S3037-024,ND20448,ND25160
MS10S3038-001,ND20448,ND25986
MS10S3038-002,ND20448,ND25986
MS10S3038-003,ND20448,ND25986
MS10S3038-004,ND20448,ND25986
MS10S3038-005,ND20448,ND25986
MS10S3038-006,ND20448,ND25986
MS10S3038-007,ND20448,ND25986
MS10S3038-008,ND20448,ND25986
MS10S3038-009,ND20448,ND25986
MS10S3038-010,ND20448,ND25986
MS10S3038-011,ND20448,ND25986
MS10S3038-012,ND20448,ND25986
MS10S3038-013,ND20448,ND25986
MS10S3038-014,ND20448,ND25986
MS10S3038-015,ND20448,ND25986
MS10S3038-016,ND20448,ND25986
MS10S3038-017,ND20448,ND25986
MS10S3038-018,ND20448,ND25986
MS10S3038-019,ND20448,ND25986
MS10S3038-020,ND20448,ND25986
MS10S3038-021,ND20448,ND25986
MS10S3038-022,ND20448,ND25986
MS10S3038-023,ND20448,ND25986
MS10S3038-024,ND20448,ND25986
