Line,Cycle,Type,NC,SY,NS,DE
MS10S3043-017,C1,Ran,62859,17392,13789,220
MS10S3044-002,C1,Ran,62581,17316,13701,230
MS10S3044-005,C1,Ran,62657,17152,13596,239
MS10S3044-006,C1,Ran,62388,17273,13600,233
MS10S3044-008,C1,Sel,63144,17452,13787,214
MS10S3044-009,C1,Ran,61948,16964,13629,227
MS10S3044-010,C1,Ran,63563,17422,13798,239
MS10S3044-013,C1,Ran,63420,17377,13895,253
MS10S3044-018,C1,Ran,63339,17325,13649,239
MS10S3044-020,C1,Ran,61798,16933,13492,259
MS10S3044-021,C1,Ran,62094,17243,13764,227
MS10S3044-022,C1,Ran,63363,17387,13829,240
MS10S3045-002,C1,Ran,64304,17351,13744,253
MS10S3045-006,C1,Ran,64523,17422,13807,266
MS10S3045-007,C1,Ran,63455,17275,13692,243
MS10S3045-009,C1,Ran,64428,17422,13793,264
MS10S3045-010,C1,Ran,62029,16895,13350,252
MS10S3045-013,C1,Ran,64412,17416,13839,254
MS10S3045-015,C1,Ran,64532,17426,13815,275
MS10S3045-017,C1,Ran,64284,17376,13711,266
MS10S3045-018,C1,Ran,63769,17301,13760,261
MS10S3045-024,C1,Ran,63274,17161,13595,259
MS10S3046-002,C1,Ran,60957,16896,13346,240
MS10S3046-003,C1,Ran,63274,17254,13553,253
MS10S3046-004,C1,Sel,62437,17061,13436,251
MS10S3046-008,C1,Ran,62771,17197,13594,235
MS10S3046-011,C1,Ran,61701,16824,13250,247
MS10S3046-013,C1,Ran,62270,17039,13435,253
MS10S3046-014,C1,Ran,61927,16932,13398,232
MS10S3046-015,C1,Ran,61796,16865,13535,235
MS10S3046-016,C1,Ran,61819,16737,13357,217
MS10S3046-019,C1,Ran,63589,17054,13643,252
MS10S3046-020,C1,Ran,63155,16910,13430,246
MS10S3048-002,C1,Sel,63852,17481,13956,233
MS10S3050-024,C1,Sel,61994,17073,13509,235
MS10S3051-012,C1,Sel,61578,17015,13472,212
MS10S3051-023,C1,Sel,62115,17131,13687,222
MS10S3051-024,C1,Sel,62849,17253,13659,220
MS10S3052-009,C1,Sel,59513,16517,13194,216
MS10S3052-014,C1,Sel,63117,17259,13633,217
MS10S3052-020,C1,Sel,62353,17196,13651,232
MS10S3052-022,C1,Sel,61943,17035,13438,210
MS10S3053-010,C1,Sel,63135,17299,13843,218
MS10S3055-001,C1,Sel,63598,17416,13833,246
MS10S3055-010,C1,Sel,59436,16394,13117,203
MS10S3063-002,C1,Sel,63735,17540,13917,231
MS11S2004-001,C2,Ran,62316,17068,13483,212
MS11S2004-003,C2,Ran,63288,17164,13513,213
MS11S2004-006,C2,Ran,62908,17236,13620,218
MS11S2005-006,C2,Ran,60901,16442,13116,233
MS11S2005-015,C2,Ran,61265,16695,13087,219
MS11S2005-020,C2,Ran,58993,16148,13087,211
MS11S2006-004,C2,Ran,61137,16682,13245,202
MS11S2007-002,C2,Ran,58678,15997,12722,200
MS11S2007-008,C2,Sel,57956,15533,12366,216
MS11S2007-012,C2,Sel,60756,16404,13264,223
MS11S2007-018,C2,Ran,60733,16387,13015,245
MS11S2007-023,C2,Sel,60645,16587,13118,238
MS11S2011-008,C2,Ran,62582,17191,13602,215
MS11S2013-007,C2,Ran,63079,17295,13738,212
MS11S2013-021,C2,Ran,63310,17386,13787,215
MS11S2014-023,C2,Sel,62145,16839,13432,243
MS11S2015-019,C2,Ran,64078,17388,14016,247
MS11S2016-001,C2,Sel,61988,16796,13457,247
MS11S2016-008,C2,Ran,54603,15003,12129,194
MS11S2016-011,C2,Ran,62283,16870,13610,249
MS11S2016-014,C2,Sel,61865,16697,13424,237
MS11S2016-015,C2,Sel,56999,15471,12548,208
MS11S2016-016,C2,Sel,62322,16853,13523,252
MS11S2016-020,C2,Ran,62044,16844,13510,237
MS11S2016-021,C2,Sel,61854,16800,13423,243
MS11S2020-008,C2,Ran,60616,16570,13175,230
MS11S2020-017,C2,Ran,60610,16767,13308,216
MS11S2020-020,C2,Sel,60827,16455,13234,253
MS11S2021-003,C2,Sel,56955,15817,12623,197
MS11S2021-008,C2,Sel,60742,16671,13284,245
MS11S2021-015,C2,Ran,59019,16373,12995,197
MS11S2021-017,C2,Ran,57882,16087,12914,214
MS11S2021-020,C2,Ran,59316,16212,12900,202
MS11S2021-024,C2,Sel,60624,16828,13367,244
MS11S2022-005,C2,Ran,58878,16032,12695,250
MS11S2022-012,C2,Ran,60108,16421,13168,202
MS11S2022-013,C2,Ran,58141,15870,12680,223
MS11S2022-014,C2,Ran,58424,15975,12609,222
MS11S2024-006,C2,Sel,55668,15353,12116,188
MS11S2024-008,C2,Sel,59366,16453,13012,226
MS11S2024-013,C2,Sel,60098,16587,13109,239
MS11S2024-015,C2,Sel,53247,14561,11573,189
MS11S2024-019,C2,Sel,59845,16443,13043,223
MS11S2024-021,C2,Sel,58240,16104,12801,227
MS11S2024-022,C2,Sel,59024,16299,12859,226
MS11S2024-023,C2,Sel,56532,15812,12539,213
MS11S2024-024,C2,Sel,56225,15459,12166,203
MS11S2025-009,C2,Ran,61088,16790,13446,193
MS11S2025-018,C2,Ran,59864,16694,13215,202
MS11S2025-021,C2,Sel,59769,16615,13120,186
MS11S2026-001,C2,Sel,62041,16933,13421,214
MS11S2026-006,C2,Sel,59313,16385,13112,199
MS11S2026-007,C2,Ran,61313,17013,13589,201
MS11S2026-019,C2,Sel,60567,16569,13145,193
MS11S2026-020,C2,Sel,62041,16963,13542,234
MS11S2027-001,C2,Ran,59826,16472,13093,209
MS11S2027-008,C2,Ran,58291,16005,12789,212
MS11S2027-013,C2,Ran,58768,16183,12888,228
MS11S2028-003,C2,Ran,61626,16859,13563,216
MS11S2028-017,C2,Sel,61456,16807,13504,233
MS11S2029-008,C2,Ran,57987,16243,13054,203
MS11S2029-010,C2,Ran,57495,15899,12994,185
MS11S2029-011,C2,Sel,58946,16228,13095,194
MS11S2029-012,C2,Sel,58265,16067,12942,208
MS11S2029-014,C2,Sel,59430,16685,13368,212
MS11S2029-015,C2,Sel,62034,17022,13610,253
MS11S2029-017,C2,Sel,60924,16734,13397,246
MS11S2029-018,C2,Sel,61715,17030,13620,263
MS11S2029-019,C2,Sel,60391,16514,13418,218
MS11S2029-021,C2,Ran,59294,16270,13114,217
